STATE,YEAR,INCOME,PERC_BUSINESS_RETURN,UNEMP_COMP_PR,PERC_RE,AGI_PR
Washington,2015,50k - 75k,12.69,353.15,31.28,61643.80364
New Hampshire,2011,100k - 200k,20.01,425.28,77.95,134606.6544
Kansas,2013,25k - 50k,11.94,317.29,14.02,36198.75909
Wisconsin,2010,50k - 75k,14.55,1207.24,52.22,61798.33086
Massachusetts,2015,25k - 50k,11.68,418.49,14.81,36658.01285
Washington,2010,200k+,22.6,398.18,89.04,469179.4675
Maine,2015,75k - 100k,18.76,149.42,48.59,86895.36683
Iowa,2013,50k - 75k,16.4,381.42,33.37,61758.31898
Maine,2010,200k+,24.62,73.67,95.24,425148.7556
Wisconsin,2012,25k - 50k,10.21,584.82,22.51,36244.76283
New York,2013,Under 25k,19.7,432.96,3.94,11915.37438
Michigan,2011,25k - 50k,12.25,890.07,22.28,36169.12602
Montana,2015,200k+,24.08,0,88.79,450654.162
Utah,2011,100k - 200k,21.06,198.22,86.71,131250.3304
Pennsylvania,2015,100k - 200k,17.73,307.69,70.99,135308.9011
Kansas,2013,Under 25k,10.99,206.39,4.25,11990.44241
Louisiana,2010,Under 25k,17.43,371.21,2.42,12702.06746
Mississippi,2010,200k+,32.58,56,89,485612.877
Washington,2015,200k+,21.28,119.01,80.55,467587.3502
Maine,2015,200k+,21.94,0,93.19,409056.1267
Montana,2013,75k - 100k,19.48,307.69,51.73,87269.57123
Wyoming,2011,25k - 50k,11.67,1024.26,12.86,34876.94426
Wyoming,2010,75k - 100k,19.02,425.76,43.61,86970.9647
District Of Columbia,2013,75k - 100k,14.82,123.77,43.27,86404.33333
Nevada,2015,25k - 50k,10.91,268.63,12.59,35897.92086
Iowa,2014,75k - 100k,17.1,254.76,44.6,87056.73476
South Carolina,2013,Under 25k,14.65,246.57,3.99,12664.21939
Vermont,2011,25k - 50k,16.45,636.73,20.61,36186.33501
California,2014,Under 25k,20.6,299.8,4.43,12807.83614
Wisconsin,2010,200k+,21.1,144.11,93.75,488586.174
Kentucky,2013,200k+,27.3,68.99,91.85,428812.3789
North Dakota,2010,75k - 100k,18.99,306.35,33.6,87922.70868
Wisconsin,2012,200k+,20.93,75.46,91.76,519624.947
Mississippi,2014,100k - 200k,21.05,57.13,64.63,134609.08
South Carolina,2014,100k - 200k,18.93,80.87,76.52,133682.6188
Nevada,2011,200k+,25.02,157.8,83.64,602533.2525
New Jersey,2013,100k - 200k,18.22,812.61,81.54,137617.9939
Montana,2010,25k - 50k,16.45,900.27,26.08,36762.06802
Arkansas,2010,200k+,26.64,113.77,91.75,515365.7389
Connecticut,2013,25k - 50k,11.54,830.8,21.66,36497.26232
New Hampshire,2011,200k+,23.72,149.33,91.37,446586.3727
Mississippi,2011,50k - 75k,16.44,264.53,35.66,61337.23393
West Virginia,2014,Under 25k,9.05,168.44,1.36,12177.18073
Maine,2011,25k - 50k,15.9,601.28,22.77,36119.99047
Idaho,2010,Under 25k,13.46,845.88,7.42,12647.28536
Indiana,2015,200k+,21.87,1.21,90.87,460763.7518
North Dakota,2015,75k - 100k,16.19,198.3,19.94,87268.91198
California,2015,50k - 75k,15.71,337.02,32.05,61468.94375
Oregon,2010,25k - 50k,13.35,1691.49,28.87,36154.10079
New Jersey,2012,200k+,22.5,578.62,92.98,505175.3498
Oklahoma,2011,75k - 100k,20.1,224.65,50.61,86458.19851
Arkansas,2013,25k - 50k,12.62,382.87,12.25,35866.40246
Hawaii,2015,75k - 100k,17.43,262.63,41.54,86623.74564
Pennsylvania,2014,25k - 50k,10.03,450.22,14.58,36345.95682
Oklahoma,2014,200k+,29.89,18.95,84.46,500028.9328
New York,2011,Under 25k,19.73,704.5,4.65,11925.21478
Utah,2011,25k - 50k,13.77,519.63,26.72,36293.82352
New Hampshire,2015,200k+,22.24,53.8,85.33,427373.9364
Illinois,2015,25k - 50k,11.96,303.58,15.02,36325.58016
Wisconsin,2014,50k - 75k,13.61,313.34,37.24,61653.1637
Missouri,2010,100k - 200k,19.35,387.75,83.78,134666.0043
Delaware,2013,25k - 50k,8.89,386.3,17.89,36146.75473
Delaware,2015,200k+,20.41,20.96,91.52,424590.7666
Rhode Island,2012,50k - 75k,13.43,1046.58,47.37,61659.22421
California,2014,100k - 200k,20.25,354.29,70.26,137377.5457
South Dakota,2012,75k - 100k,20.08,91.09,29.35,87731.81517
Utah,2015,Under 25k,11.88,74.16,3.89,12335.44026
North Carolina,2015,200k+,23.82,9.05,92.73,462313.9058
North Dakota,2012,200k+,24.93,18.39,64.22,572593.6129
Florida,2012,100k - 200k,18.06,182.97,61.92,133992.1121
South Dakota,2010,50k - 75k,19.79,217.66,26.22,63378.69174
North Carolina,2012,75k - 100k,18.37,519.92,65.01,86483.61136
Texas,2015,50k - 75k,16.6,243.14,24.07,61300.90416
South Carolina,2013,75k - 100k,16.97,193.87,57.01,86563.88863
Florida,2010,50k - 75k,14.11,584.74,39.48,61340.76126
Indiana,2012,Under 25k,11.06,400.02,3.66,11817.49036
Arkansas,2012,Under 25k,15.32,355.78,3.13,12791.37295
Michigan,2013,75k - 100k,15.8,366.6,50.19,86559.48909
Arkansas,2013,75k - 100k,17.05,284.88,43.95,87066.88816
New Jersey,2010,25k - 50k,10.06,2157.55,24.85,36365.76787
Connecticut,2014,Under 25k,14.02,285.42,5.96,11727.48593
Florida,2012,Under 25k,20.89,368.92,4.37,12759.63682
Minnesota,2011,100k - 200k,18.88,488.89,87.49,133614.2496
Iowa,2010,200k+,24.52,74.12,92.54,447499.4876
Ohio,2014,25k - 50k,10.23,208.57,13.97,36378.2482
Maryland,2014,75k - 100k,16.52,183.16,63.52,86780.24029
Maine,2010,50k - 75k,19.53,651.64,46.75,63850.31163
Ohio,2010,Under 25k,12.21,756.22,4.95,12242.76781
Michigan,2013,200k+,23.23,56.02,92.68,454117.2403
Maryland,2012,100k - 200k,19.81,272.88,85.99,136796.7619
Massachusetts,2010,100k - 200k,20.48,1382.9,84.96,135878.7305
North Carolina,2011,Under 25k,15.37,637.07,6.31,12721.17039
Maine,2013,25k - 50k,14.9,418.83,18.4,36048.56809
Delaware,2013,200k+,21.25,90.64,92.31,408975.4435
Maryland,2012,Under 25k,18.38,447.89,5.97,12109.82166
Virginia,2014,50k - 75k,13.74,123.87,37.99,61632.07549
Massachusetts,2014,200k+,25.02,281.68,92.14,553010.1032
West Virginia,2013,75k - 100k,12.83,393.88,31.16,87154.60448
Arizona,2014,100k - 200k,19.08,76.43,69.36,134328.7506
Arkansas,2010,100k - 200k,20.3,382.59,77.92,135789.7859
Kentucky,2015,50k - 75k,14.3,211.91,31.82,61589.16258
Iowa,2012,200k+,22.82,60.22,87.67,478985.7043
Alaska,2012,50k - 75k,16.14,756.05,27.73,61652.64238
Missouri,2015,50k - 75k,15.05,158.57,30.18,61579.98691
Colorado,2013,200k+,25.83,85.34,90.37,452170.4321
Connecticut,2013,50k - 75k,13.87,725.98,46.9,61686.54712
Texas,2013,200k+,28.13,95.54,77.16,522715.6179
Pennsylvania,2013,200k+,24.58,176.58,92.01,456339.1773
Oklahoma,2011,200k+,32.06,22.21,87.63,512545.7069
Montana,2012,100k - 200k,21.77,218.7,73.73,134618.3535
California,2010,25k - 50k,13.91,1490.67,20.35,36011.49563
Wyoming,2011,200k+,29.71,10.15,73.32,646076.9518
Maine,2010,100k - 200k,21.26,272.36,88.11,136862.8428
Virginia,2014,75k - 100k,15.12,103.79,55.28,86886.11628
Missouri,2011,25k - 50k,13,504.95,20.75,36068.05769
Rhode Island,2012,25k - 50k,10.13,1221.97,20.91,36132.65904
Alabama,2012,100k - 200k,18.95,131.34,72.66,134272.678
Colorado,2015,50k - 75k,16.39,214.96,33.26,61549.56595
Iowa,2011,200k+,24.24,38.35,89.62,424583.3052
Texas,2014,50k - 75k,16.45,199.13,24.38,61343.61338
Ohio,2015,25k - 50k,10.17,184.62,12.73,36391.99159
Wyoming,2013,100k - 200k,19.86,122.61,47.64,134026.7393
Oklahoma,2012,200k+,31.26,32.27,87.55,586988.1657
Georgia,2012,100k - 200k,20.36,217.2,83.09,135332.7875
South Carolina,2011,Under 25k,14.07,597.53,4.87,12746.55486
Kentucky,2011,100k - 200k,19.47,360.62,81.83,131475.3534
Delaware,2014,100k - 200k,15.85,165.45,74.24,134897.6483
United States,2012,200k+,24.64,199.74,88.68,560277.8592
Wisconsin,2010,Under 25k,9.88,966.35,7.12,12128.51751
South Carolina,2015,200k+,25.39,6.5,91.46,445348.8408
Connecticut,2010,Under 25k,12.3,1080.15,8.12,11916.11172
Georgia,2013,Under 25k,22.58,255.27,4.5,12732.82142
Delaware,2012,50k - 75k,11.86,486.92,43.13,61554.54843
Missouri,2013,50k - 75k,15.36,298.11,33.98,61636.71045
Pennsylvania,2011,Under 25k,10.25,729.71,4.68,11612.63565
Hawaii,2012,50k - 75k,15.35,694.97,32.01,61427.40062
Indiana,2013,100k - 200k,17.43,180.07,69.77,133215.5281
Idaho,2014,200k+,23.64,33.63,89.11,460617.5715
Arkansas,2011,75k - 100k,18.1,369.06,52.26,86330.02973
Kentucky,2012,100k - 200k,19.13,288.18,80.19,133604.6515
Oregon,2014,100k - 200k,19.2,244.62,81.81,134430.8456
Colorado,2010,100k - 200k,22.25,532.64,83.42,134556.8528
New Jersey,2013,200k+,22.65,443.94,92.7,471655.1074
Louisiana,2012,Under 25k,18.31,216.55,2.21,12783.73554
Vermont,2015,25k - 50k,14.5,299.7,13.98,36232.51746
New Mexico,2014,25k - 50k,11.01,242.36,13.16,35876.7312
Illinois,2014,Under 25k,16.4,195.06,4.66,12114.42369
Oregon,2013,Under 25k,12.86,436.8,7.27,12537.31965
Indiana,2010,75k - 100k,16.3,790.5,57.4,86398.76436
Mississippi,2015,100k - 200k,20.88,37.36,63.67,134862.9935
New Mexico,2014,50k - 75k,14.03,199.29,29.44,61486.50999
California,2011,100k - 200k,20.79,744.06,76.57,136230.4208
Indiana,2010,50k - 75k,14.86,1029.87,39.26,61673.42168
Illinois,2015,200k+,20.84,102.19,89.87,530005.9906
Oklahoma,2011,Under 25k,14.41,364.61,3.91,12619.40027
Indiana,2012,200k+,23.12,54.73,91.43,481161.8386
South Dakota,2010,75k - 100k,21.52,153.7,38.24,87971.72774
Iowa,2011,25k - 50k,13.12,634.5,21.63,36355.9594
New York,2012,25k - 50k,11.38,675.54,15.94,36292.06616
Georgia,2013,75k - 100k,18.6,213.05,62.07,86567.99074
Arizona,2013,200k+,24.44,44.8,89.52,444606.9375
North Dakota,2012,100k - 200k,19.23,104.71,40.01,141824.8774
North Carolina,2013,Under 25k,15.95,309.2,5.1,12629.3506
South Dakota,2015,Under 25k,10.24,45.89,2.23,12059.48621
Iowa,2010,Under 25k,11.67,645.2,6.41,12483.45518
North Carolina,2010,200k+,24.58,253.7,95.18,437723.6305
Massachusetts,2015,75k - 100k,16.23,488.89,51.49,86692.17313
Nevada,2012,50k - 75k,12.59,705.45,34.25,61473.01865
Mississippi,2015,Under 25k,19.79,92.15,2.18,13158.15934
Virginia,2013,200k+,22,63.2,93.86,403129.8076
United States,2011,200k+,24.84,219.08,89.67,503545.4892
Texas,2012,100k - 200k,22.31,269.27,61.72,135519.9623
Arizona,2015,100k - 200k,19.5,67.54,68.79,134521.4839
Louisiana,2015,25k - 50k,14.11,108.29,9.39,36081.53335
Alabama,2011,50k - 75k,16.11,325.71,39.73,61474.9507
Kentucky,2010,200k+,27.64,135.2,92.71,460991.5471
South Carolina,2011,25k - 50k,12.03,458.98,21.66,35617.30427
United States,2012,50k - 75k,15.02,543.15,38.54,61534.76349
Idaho,2014,50k - 75k,18.57,279.35,35.35,61586.89826
Virginia,2013,Under 25k,13.83,170.4,4.36,12371.61859
South Dakota,2013,Under 25k,9.85,80.65,2.45,11925.2509
Arkansas,2011,200k+,26.68,43.57,90.08,510098.7665
South Dakota,2014,200k+,23.64,10.85,65.56,517088.8138
Florida,2013,100k - 200k,18.08,132.77,57.97,134388.4319
Massachusetts,2013,50k - 75k,13.66,736.71,38.72,61559.67305
Hawaii,2015,25k - 50k,11.29,224.46,9.93,36401.61667
Idaho,2012,25k - 50k,15.31,645.51,21.51,36057.59924
Nebraska,2014,200k+,22.4,13.41,89.11,487224.4342
Minnesota,2010,200k+,22.17,238.27,95.81,490641.1979
Kentucky,2015,Under 25k,13.71,113.23,2.84,12371.9987
Connecticut,2011,Under 25k,12.38,845.5,7.58,11712.45426
West Virginia,2013,200k+,29.8,52.35,88.58,396860.4858
Virginia,2012,Under 25k,13.69,250.78,4.74,12370.1096
New York,2015,25k - 50k,11.67,235.59,12.81,36354.55721
Louisiana,2014,200k+,29.88,10.36,80.96,490025.5171
Iowa,2015,Under 25k,11.31,143.41,4.32,12391.05232
Nevada,2015,100k - 200k,18.07,209.95,56.7,133738.901
South Dakota,2014,25k - 50k,12.34,93.98,8.97,36185.13462
Texas,2015,Under 25k,21.53,114.85,2.43,12737.67342
Oklahoma,2015,25k - 50k,13.06,217.01,10.47,36083.80207
Tennessee,2015,Under 25k,17.79,62.98,2.65,12631.0813
Minnesota,2014,200k+,21.44,72.39,94.05,474204.7111
Ohio,2013,100k - 200k,18.85,226.35,76.06,133009.9951
North Carolina,2011,200k+,24.5,160.84,94.64,429174.83
Illinois,2012,Under 25k,15.77,512.54,5.63,12104.68974
Virginia,2010,75k - 100k,15.53,324.24,66.43,86837.50319
Iowa,2012,Under 25k,11.22,356.69,5.26,12316.48858
Nevada,2010,200k+,24.71,226.42,85.8,701999.4041
Delaware,2011,25k - 50k,9.11,637.61,21.59,36195.76956
Georgia,2013,100k - 200k,20.32,153.7,80.65,135465.5001
Arkansas,2011,50k - 75k,16.58,484.38,32.99,61637.20056
Illinois,2013,200k+,21.51,171.22,90.79,506798.3356
Iowa,2013,200k+,22.62,36.9,89.46,418867.1853
Oklahoma,2013,100k - 200k,22.23,104.28,65.99,135072.4146
Kansas,2014,200k+,28.84,35.25,88.44,496469.8255
Maine,2012,100k - 200k,20.47,191.09,84.19,136201.1274
Rhode Island,2011,25k - 50k,10.15,1484.95,22.66,36072.26069
Louisiana,2010,75k - 100k,19.59,250.55,40.99,86589.02321
New Hampshire,2012,25k - 50k,12.82,470.41,20.82,36371.28217
Oklahoma,2013,50k - 75k,16.91,169.45,27.95,61560.82419
Wisconsin,2014,25k - 50k,9.87,304.62,17.62,36341.1423
Ohio,2013,50k - 75k,13.8,350.9,36.2,61372.70919
Colorado,2015,200k+,25.26,41.37,89.28,471003.9645
Texas,2012,25k - 50k,14.28,395.54,12.68,35983.66598
Florida,2012,50k - 75k,14.42,270.1,33.07,61331.49593
South Carolina,2014,200k+,25.46,27,91.49,435308.4282
Hawaii,2012,Under 25k,12.91,356.32,4.27,12392.52232
West Virginia,2014,200k+,28.33,43.3,86.6,412545.1176
Utah,2012,Under 25k,11.86,234.26,4.97,12333.40791
Kansas,2014,50k - 75k,16.11,196.38,27.3,61766.21504
North Carolina,2010,Under 25k,14.98,848.29,6.78,12826.72762
Michigan,2010,100k - 200k,18.3,731.1,83.39,133515.8123
Arizona,2012,200k+,24.4,59.03,90.42,497101.9181
Iowa,2010,25k - 50k,13.64,885.74,22.96,36430.17608
South Carolina,2014,25k - 50k,11.88,113.75,15.99,35791.42452
Maine,2015,50k - 75k,18.59,203.97,35.12,61583.04668
California,2015,Under 25k,20.92,242.59,4.47,12865.42236
Hawaii,2011,50k - 75k,15.42,803.53,34.15,61437.7255
New Mexico,2010,200k+,26.1,88.23,90.9,418349.9101
District Of Columbia,2010,200k+,28.35,78.4,88.72,531378.9337
Washington,2013,50k - 75k,13.09,612.71,35.81,61676.21713
Texas,2014,25k - 50k,14.8,202.51,10.17,36129.46563
Texas,2011,Under 25k,19.85,440.12,3.28,12768.6862
Virginia,2015,100k - 200k,18.16,66.5,77.25,138109.0759
Alabama,2015,50k - 75k,15.6,95.94,29.95,61446.36927
New York,2014,100k - 200k,17.94,214.14,69.68,136518.1855
Missouri,2014,50k - 75k,15.03,179.88,31.07,61617.55131
Pennsylvania,2013,25k - 50k,10.03,786.53,16.22,36304.78908
Vermont,2011,50k - 75k,20.86,496.27,41.86,61893.38533
Texas,2011,25k - 50k,14.18,498.44,14.12,35990.35397
North Dakota,2011,25k - 50k,12.73,340.35,11.54,36474.94262
Michigan,2010,75k - 100k,16.43,1133.16,64.61,86480.32302
Arizona,2015,25k - 50k,11.38,120.02,14.9,35940.66516
Montana,2014,50k - 75k,18.57,313.48,35.03,61704.64479
Arkansas,2013,100k - 200k,19.53,191.83,71.28,134903.5608
South Dakota,2015,25k - 50k,12.11,86.66,8.35,36348.75721
Idaho,2010,100k - 200k,21.9,400.51,84.74,133942.8527
Mississippi,2015,75k - 100k,18.48,98.88,40.16,86588.5073
Oregon,2015,Under 25k,12.98,179.54,6.53,12588.64392
North Carolina,2011,25k - 50k,12.75,773.26,23.8,35662.933
Pennsylvania,2015,200k+,23.55,70.34,91.33,478778.6186
South Dakota,2014,75k - 100k,19.27,66.7,23.39,87659.61774
Colorado,2013,100k - 200k,21.65,238.89,74.94,135736.5259
Oklahoma,2014,Under 25k,14.86,107.26,2.7,12628.35192
District Of Columbia,2012,200k+,27.32,54.24,85.43,568054.7536
United States,2014,200k+,24.32,112.67,86.38,522225.6298
Ohio,2011,50k - 75k,14.45,555.71,43.52,61384.38375
Rhode Island,2015,200k+,26.33,77.83,93.71,454075.9627
Illinois,2015,75k - 100k,14.52,292.5,48.6,86733.11446
New Hampshire,2012,100k - 200k,19.87,368.49,75.38,135757.9904
Utah,2012,75k - 100k,18.73,234.82,71.52,86596.05625
Rhode Island,2013,75k - 100k,16.34,760.37,63.13,86567.68347
District Of Columbia,2010,50k - 75k,12.94,256.11,31.34,61123.1589
New Jersey,2014,100k - 200k,18.14,500.55,80.01,137956.1294
Alaska,2013,Under 25k,11.23,659.33,2.25,11594.46552
Kansas,2010,50k - 75k,17.67,771.52,40.83,62688.36865
Oregon,2012,200k+,23.56,181.03,92.44,454244.2776
Nebraska,2015,Under 25k,11.21,70.54,3,12363.35933
Wisconsin,2015,Under 25k,9.62,129.76,4.77,11905.33708
North Dakota,2011,75k - 100k,19.09,248.92,30.32,86948.2053
Montana,2013,50k - 75k,19.12,429.23,37.66,61823.91873
Maine,2013,100k - 200k,20.17,158.4,81.49,136164.692
Illinois,2013,Under 25k,15.98,390.45,5.15,12094.1532
Indiana,2015,25k - 50k,10.14,115.73,11.16,36198.06902
Florida,2012,25k - 50k,13.22,285.34,16.3,35738.71513
Ohio,2011,Under 25k,12.34,505.05,4.5,12131.19524
District Of Columbia,2012,75k - 100k,14.84,149.3,45.51,86435.37103
New Jersey,2011,50k - 75k,12.32,1353.07,47.4,61583.67974
Utah,2010,75k - 100k,19.28,458.27,77.67,86346.99802
District Of Columbia,2010,75k - 100k,15.59,211.97,51.72,86385.91077
Alabama,2010,Under 25k,16.63,550.54,4.17,12945.42032
Colorado,2014,25k - 50k,13.72,245.16,15.31,36363.05802
Nevada,2011,75k - 100k,15.05,837.94,52.09,86282.89295
Oklahoma,2012,75k - 100k,19.45,192.43,45.88,86644.86329
Arizona,2010,75k - 100k,16.84,424.72,66.55,86417.14745
District Of Columbia,2015,200k+,27.24,15.39,83.14,539852.397
Michigan,2014,75k - 100k,15.65,250.22,46.79,86613.37022
Connecticut,2010,25k - 50k,11.46,1657.85,26.36,36452.57145
North Dakota,2011,50k - 75k,17.74,343.79,21.64,62772.38812
Kansas,2012,75k - 100k,18.43,334.21,53.83,87208.3139
West Virginia,2015,50k - 75k,11.19,427.62,18.16,61819.20739
New Jersey,2011,Under 25k,13.44,1032.49,8.66,11952.34345
Vermont,2013,100k - 200k,22.15,116.54,77.94,138415.4706
Maine,2014,50k - 75k,18.6,250.58,35.1,61580.51315
Hawaii,2013,200k+,29.01,85.92,85.1,407094.6301
Delaware,2014,50k - 75k,11.67,222.79,37.19,61617.76564
Washington,2010,75k - 100k,15.91,1197.61,62.28,86696.92658
Alaska,2015,Under 25k,11.38,755.95,1.99,11620.35137
Arizona,2013,50k - 75k,14.23,178.3,36.64,61496.99436
Michigan,2012,Under 25k,13.97,495.56,4.95,11588.02906
Nebraska,2013,50k - 75k,16.72,140.8,31.92,61841.62481
Kentucky,2015,75k - 100k,16.4,176.53,49.2,86851.27489
Wisconsin,2014,100k - 200k,16.83,181.23,80.69,133094.8808
Nevada,2013,Under 25k,16.01,492.08,4.28,13179.34477
Missouri,2012,75k - 100k,17.06,323.24,55.81,86766.94682
New Hampshire,2011,25k - 50k,12.97,564.59,22.2,36433.26572
Alabama,2014,50k - 75k,15.4,108.47,31.01,61473.07559
West Virginia,2010,75k - 100k,14.3,564.64,40.96,87172.31248
North Carolina,2015,100k - 200k,20.07,46.04,76.04,135239.0827
Utah,2014,50k - 75k,17.02,176.23,45.99,61677.26081
Kansas,2012,Under 25k,10.65,299.18,4.83,11935.97594
New Mexico,2013,200k+,26.77,44.6,87.65,418810.9044
Maryland,2013,100k - 200k,19.73,231.56,84.95,137072.3307
Montana,2014,200k+,25.62,30.87,87.71,452353.2457
Pennsylvania,2010,25k - 50k,10.34,1652.19,20.04,36175.95578
Connecticut,2010,100k - 200k,20.98,1109.63,88.5,135643.3155
North Dakota,2011,200k+,26.04,15.41,68.4,491787.1509
Washington,2012,200k+,21.91,201.25,85.97,510374.6829
Vermont,2015,50k - 75k,20.33,236.93,34.09,61582.43331
Colorado,2015,75k - 100k,18.97,188.46,48.93,86773.2652
North Dakota,2014,100k - 200k,18.52,102.31,32.19,139048.2481
Oklahoma,2010,Under 25k,14.34,556.44,4.26,12747.75834
Delaware,2011,Under 25k,9.74,627.66,6.16,12399.55107
South Carolina,2012,200k+,25.55,70.19,92.65,466104.1769
Rhode Island,2014,Under 25k,12.44,278.75,4.63,12012.46583
Nebraska,2015,50k - 75k,16.24,96.16,29.6,61752.9841
Utah,2014,200k+,24.03,17.66,91.52,504502.4505
Vermont,2011,Under 25k,15.21,454.04,5.45,11712.5906
Massachusetts,2011,100k - 200k,20.31,996.47,83.42,136076.3344
Michigan,2015,100k - 200k,17.92,132.23,71.1,134457.1617
New Jersey,2010,200k+,22.46,781.99,94.05,477551.1083
Iowa,2011,100k - 200k,19.11,214.75,79.7,132559.4915
South Carolina,2010,25k - 50k,12.19,694,23.4,35586.92115
Pennsylvania,2011,25k - 50k,10.33,1196.83,19.11,36245.68242
New Mexico,2010,25k - 50k,11.82,863.6,19.9,35956.54783
Ohio,2010,25k - 50k,11.03,898.9,22.99,36339.32572
Arkansas,2014,50k - 75k,15.65,224.77,26.08,61529.34827
Idaho,2015,50k - 75k,18.4,244.37,34.5,61573.02613
Ohio,2011,25k - 50k,10.84,573.7,21.04,36344.81793
Texas,2015,75k - 100k,18.93,216.01,35.43,86687.30064
Missouri,2013,100k - 200k,18.52,168.26,75.75,134565.9106
Idaho,2012,50k - 75k,18.9,539.18,42.85,61542.29753
Connecticut,2013,75k - 100k,16.78,754.51,65.51,86706.90619
Texas,2012,75k - 100k,19.22,351.31,42.24,86613.36562
Ohio,2013,25k - 50k,10.37,346.35,15.97,36342.09875
South Carolina,2014,50k - 75k,15.16,109.1,36.35,61380.05447
Iowa,2014,100k - 200k,17.96,145.29,73.25,135978.9509
Florida,2011,75k - 100k,15.74,325.02,48.45,86305.56404
Kentucky,2014,Under 25k,13.61,143.06,3.01,12340.46953
Indiana,2012,100k - 200k,17.48,243.74,73.52,132950.8787
West Virginia,2014,25k - 50k,9.36,328.6,7.12,36142.07294
North Dakota,2010,200k+,25.87,32.5,74.53,476417.5464
South Dakota,2013,100k - 200k,20.26,41.93,43.73,140033.785
Wyoming,2015,100k - 200k,19.79,141.53,44.19,135287.3049
Idaho,2010,50k - 75k,19.33,992.26,51.79,61826.15002
New Hampshire,2011,Under 25k,11.95,375.32,7.02,11603.82258
Alabama,2013,50k - 75k,15.55,180.21,33.25,61471.05283
New York,2010,Under 25k,19.88,890.67,4.93,12076.25849
Ohio,2014,100k - 200k,18.66,157.93,72.29,133158.829
Ohio,2012,200k+,25.21,81.48,91.5,503046.8323
Iowa,2013,100k - 200k,18.23,162.18,74.97,135634.393
Indiana,2014,200k+,22.68,23.8,90.73,450610.0065
North Dakota,2010,25k - 50k,13.09,445.67,12.17,38132.52414
Florida,2013,75k - 100k,15.84,172.53,40.58,86445.8683
Arizona,2013,25k - 50k,11.1,205.31,17.33,35918.02121
Alabama,2014,Under 25k,17.17,116.58,2.86,12943.46857
Vermont,2013,75k - 100k,20.44,240.6,50.45,87129.58084
Illinois,2010,200k+,22.39,347.77,93.03,530914.1755
Mississippi,2012,Under 25k,17.6,324.49,2.77,13051.07402
West Virginia,2014,100k - 200k,16.52,181.47,57.75,133821.7504
Idaho,2011,50k - 75k,19.57,711.25,47.67,61627.3532
Oregon,2015,75k - 100k,17.14,296.07,61.7,86702.49314
Wyoming,2014,Under 25k,10.87,113.71,2.91,12121.35057
New Jersey,2011,25k - 50k,10.23,1716.23,23.65,36338.47222
New Mexico,2015,200k+,24.55,0,85.95,411943.6476
Virginia,2010,25k - 50k,11.49,465.81,24.2,36386.97071
Montana,2011,200k+,28.27,20.69,89.54,432844.7177
Indiana,2013,200k+,22.94,43.47,91.04,442061.3953
Georgia,2012,200k+,23.6,75.49,93.47,490536.7942
Utah,2015,200k+,24.11,0,91.74,494394.1982
Alabama,2015,25k - 50k,12.89,93.65,13.61,35923.36535
Wyoming,2015,200k+,24.91,0,64.63,706301.5889
Tennessee,2013,75k - 100k,18.46,176.95,38.8,86495.65843
Connecticut,2012,50k - 75k,14.05,856.96,49.2,61646.62975
New Jersey,2012,25k - 50k,10.53,1422.37,22.51,36347.08637
Texas,2010,25k - 50k,14.43,664.91,15.4,35923.77528
Utah,2014,25k - 50k,13.09,196.09,18.95,36355.58759
North Carolina,2014,50k - 75k,16.32,117.18,36.8,61434.36547
District Of Columbia,2014,50k - 75k,12.91,117.75,22.52,61265.8977
Utah,2010,25k - 50k,13.75,796.58,29.27,36315.98297
Oregon,2015,100k - 200k,19.4,225.83,81.21,135017.4037
United States,2013,Under 25k,16.36,325.93,4.3,12341.22486
Arkansas,2012,50k - 75k,16.25,426.29,30.44,61617.59565
Washington,2014,Under 25k,11.36,205.47,4.85,12577.65028
Alaska,2012,25k - 50k,12.57,827.14,11.22,36496.51889
Pennsylvania,2010,100k - 200k,18.34,1075.91,81.16,134832.3274
Wyoming,2013,75k - 100k,17.46,210.19,33.71,87083.7514
South Dakota,2010,200k+,25.35,27.3,78.64,568223.8812
Kansas,2013,75k - 100k,18.33,254.75,46.05,87155.54379
Virginia,2011,Under 25k,13.34,335.48,5.3,12354.43838
Wisconsin,2012,50k - 75k,14.14,604.48,45.54,61710.66767
Texas,2014,100k - 200k,22.04,157.52,55.53,136062.863
Wisconsin,2011,25k - 50k,10.57,785.98,24.83,36281.6531
West Virginia,2011,75k - 100k,14.16,396.12,37.5,86394.68255
New York,2010,75k - 100k,15.49,795.6,57.09,86628.04829
Maryland,2015,Under 25k,22.21,153.46,4.92,11776.31117
Indiana,2011,Under 25k,11.29,578.44,4.14,11803.21217
Ohio,2015,75k - 100k,16.06,204.82,45.32,86514.698
Oklahoma,2014,25k - 50k,12.96,141.91,10.94,36090.52882
New Hampshire,2010,Under 25k,12.21,557.39,7.51,11840.07741
Delaware,2015,75k - 100k,13.97,192.58,51.15,86718.445
Virginia,2010,Under 25k,13.1,445.8,5.76,12426.87522
Hawaii,2014,100k - 200k,20.7,228.37,64.71,133868.9176
Alabama,2013,25k - 50k,12.56,176.63,15.96,35901.86101
New Mexico,2011,25k - 50k,11.59,650.32,18.06,35899.74074
North Carolina,2013,50k - 75k,16.45,337.78,41.79,61422.16262
North Carolina,2014,Under 25k,16.55,111.88,4.4,12617.50381
